package,label,method,final_accuracy,min_task,forgetting,class2,class4,class5,params
v011,v0.11 comparative smoke,mmals_full_functional_memory,0.967,,0.003,,,,1232543.0
v011,v0.11 replay baseline,experience_replay,0.971,,0.002,,,,218058.0
v011,v0.11 PNN baseline,pnn,0.979,,0.0,,,,217538.0
v09,v0.9 full functional memory,Mutualistic09_full_functional_memory,0.9908,,0.0004199999999999,,,,
v09,v0.9 route-only control,Mutualistic09_route_memory_only,0.69585,,0.29514,,,,
rc2b,RC2b robust fixed RC1b,paired_context_gap_selected,0.901,0.8182499999999999,0.055625,0.8234999999999999,0.86175,0.9985,1337606.0
rc2b,RC2b selected policy,paired_rc2b_validation_selected_policy,0.8879999999999999,0.77725,0.0643749999999999,0.7847500000000001,0.842,0.9985,1337606.0
rc2b,RC2b replay baseline,baseline_experience_replay,0.8390000000000001,0.6985,0.1351875,0.61875,0.93825,0.997,217798.0
rc2g,RC2G evidence fixed RC1b,paired_context_gap_selected,0.90575,0.8291666666666666,0.0558333333333333,0.8312499999999999,0.8558333333333333,0.9966666666666668,1337606.0
rc2g,RC2G selected policy,paired_rc2g_tri_boundary_equilibrium_policy,0.8704166666666667,0.7658333333333333,0.0851041666666666,0.725,0.8370833333333333,0.9975,1337606.0
rc2h,RC2H evidence true global guard,paired_proto_global_head_ce_kl_guard_035,0.8956666666666666,0.8058333333333333,0.0622916666666666,0.88625,0.8120833333333334,0.9958333333333336,1337606.0
rc2h,RC2H evidence RC1b context-gap,paired_context_gap_selected,0.8857499999999999,0.7908333333333334,0.0771875,0.8429166666666666,0.8229166666666666,0.9958333333333336,1337606.0
rc2h,RC2H selected policy,paired_rc2h_rc1b_anchored_conservative_policy,0.8788333333333332,0.7358333333333333,0.0958333333333333,0.7695833333333333,0.8533333333333334,0.9941666666666666,1337606.0
rc2h,RC2H replay baseline,baseline_experience_replay,0.8360833333333333,0.68375,0.1414583333333333,0.6054166666666667,0.9433333333333334,0.9975,217798.0
