method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
baseline_balanced_replay,0,mlp_baseline,0.8332499999999999,0.68625,,,,,0.0,0.8931725919246674,2.22445011138916,1.4625000357627869,1.0099999904632568,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.77125,0.68625,0.14156249999999998,0.8041666666666666,0.9016666666666667,0.905,0.90125,0.60625,0.75875,0.94875,0.9975,0.60625,0.24020833333333333,deployable_continual_baseline
baseline_balanced_replay,1,mlp_baseline,0.82175,0.635,,,,,0.0,0.8365050554275513,2.5412275791168213,1.4787499904632568,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.725625,0.635,0.1559375,0.8158333333333333,0.8741666666666666,0.9225,0.9125,0.6125,0.68125,0.94125,1.0,0.6125,0.24625,deployable_continual_baseline
baseline_balanced_replay,2,mlp_baseline,0.8480000000000001,0.72625,,,,,0.0,0.8877536654472351,2.445039987564087,1.6349999904632568,1.0075000524520874,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.814375,0.72625,0.13218749999999999,0.7854166666666668,0.9325,0.83,0.94375,0.5825,0.85625,0.94375,0.9975,0.5825,0.24166666666666667,deployable_continual_baseline
baseline_balanced_replay,3,mlp_baseline,0.8505,0.76375,,,,,0.0,1.9549366235733032,2.3261303901672363,1.3537499904632568,1.0099999904632568,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.80375,0.76375,0.1090625,0.8208333333333333,0.9012500000000001,0.835,0.92875,0.69875,0.81625,0.895,0.9925,0.69875,0.2191666666666667,deployable_continual_baseline
baseline_balanced_replay,4,mlp_baseline,0.8414999999999999,0.68125,,,,,0.0,0.8658830523490906,2.213452100753784,1.4762499928474426,1.002500057220459,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.76625,0.68125,0.13718750000000002,0.8079166666666667,0.90625,0.8725,0.9575,0.59375,0.75875,0.9625,0.9975,0.59375,0.2547916666666667,deployable_continual_baseline
baseline_ewc,0,mlp_baseline,0.3,0.0,,,,,0.0,-39.11737823486328,1.9973219633102417,6.0,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8440624999999999,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8308333333333334,deployable_continual_baseline
baseline_ewc,1,mlp_baseline,0.29975,0.0,,,,,0.0,-33.041900634765625,2.5489249229431152,6.0,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8403125,0.0,0.66625,0.0,0.0,0.0,0.0,0.99875,1.0,0.0,0.8302083333333333,deployable_continual_baseline
baseline_ewc,2,mlp_baseline,0.2995,0.0,,,,,0.0,-30.10638427734375,2.6574599742889404,5.072500228881836,1.0049999952316284,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8459375,0.0,0.665,0.0,0.0,0.0,0.0,1.0,0.995,0.0,0.8277083333333333,deployable_continual_baseline
baseline_ewc,3,mlp_baseline,0.29975,0.0,,,,,0.0,-23.80324935913086,3.0146093368530273,4.03125,1.002500057220459,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8400000000000001,0.0,0.6658333333333334,0.0,0.0,0.0,0.0,1.0,0.9975,0.0,0.8293750000000001,deployable_continual_baseline
baseline_ewc,4,mlp_baseline,0.29975,0.0,,,,,0.0,-29.158574104309082,2.3461875915527344,5.005000114440918,1.002500057220459,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8409375,0.0,0.6658333333333334,0.0,0.0,0.0,0.0,1.0,0.9975,0.0,0.8320833333333334,deployable_continual_baseline
baseline_experience_replay,0,mlp_baseline,0.8332499999999999,0.68625,,,,,0.0,0.8931725919246674,2.22445011138916,1.4625000357627869,1.0099999904632568,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.77125,0.68625,0.14156249999999998,0.8041666666666666,0.9016666666666667,0.905,0.90125,0.60625,0.75875,0.94875,0.9975,0.60625,0.24020833333333333,deployable_continual_baseline
