method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role
probe_proto__zf_oracle,probe,0.93925,0.011639104346984785,0.9032500000000001,,0.9200000000000002,0.9037499999999999,0.9490833333333333,0.9401666666666667,0.9654999999999999,0.9717499999999999,0.9099999999999999,0.9359999999999999,0.907,0.9775,0.89925,0.171625,4.9327077627182,3.085540008544922,1.1139999985694886,1.0255000114440918,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,zf,oracle,diagnostic_probe
paired_context_gap_selected,mmals_rc2b_candidate,0.901,0.02435800689711704,0.8182499999999999,0.055625,0.87625,0.8320000000000001,0.9104166666666667,0.9178333333333333,0.961,0.94675,0.8234999999999999,0.8932500000000001,0.86175,0.9984999999999999,0.79075,0.176375,3.146269756555557,2.9545493602752684,1.24724999666214,1.003000020980835,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,mmals_rc2b_candidate,0.901,0.02435800689711704,0.8182499999999999,0.055625,0.87625,0.8320000000000001,0.9104166666666667,0.9178333333333333,0.961,0.94675,0.8234999999999999,0.8932500000000001,0.86175,0.9984999999999999,0.79075,0.176375,3.146269756555557,2.9545493602752684,1.24724999666214,1.003000020980835,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
probe_proto__zf_proto,probe,0.9008499999999999,0.012916317199573552,0.80475,,0.8528749999999998,0.8095000000000001,0.9265000000000001,0.8979166666666666,0.96,0.9570000000000001,0.8625,0.9295,0.78625,0.978,0.7689999999999999,0.15941666666666668,3.564448618888855,3.236596632003784,1.159250009059906,1.0345000267028808,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,zf,proto,diagnostic_probe
paired_rc2b_validation_selected_policy,mmals_rc2b_policy,0.8879999999999999,0.026957141910818355,0.77725,0.06437499999999999,0.8535,0.7907500000000001,0.8954166666666667,0.91075,0.9585000000000001,0.943,0.7847500000000001,0.89175,0.842,0.9984999999999999,0.75675,0.18112499999999998,2.93710920214653,2.951174736022949,1.3335000038146974,1.0025000095367431,267833.2,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_proto_global_head_ce_kl_guard_035,mmals_rc2b_candidate,0.8779999999999999,0.041688202767689544,0.74775,0.08050000000000002,0.81925,0.74775,0.8823333333333334,0.9065833333333334,0.9574999999999999,0.94575,0.74375,0.8782500000000001,0.8455,0.9960000000000001,0.74375,0.189625,2.4872564002871513,3.050294208526611,1.34650000333786,1.0065000295639037,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
baseline_joint_upper_bound,joint_upper_bound,0.8766,0.004584621031230427,0.8185,0.0,0.8402499999999999,0.8230000000000001,0.8965833333333333,0.8739166666666666,0.9145,0.95225,0.8230000000000001,0.85125,0.828,0.9425000000000001,0.7927500000000001,0.179,6.180408334732055,9.031780529022218,1.2235000014305115,1.065999984741211,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,diagnostic_upper_bound
paired_context_temp_blend_selected_global,mmals_rc2b_candidate,0.8712,0.030283762150697162,0.7415,0.07625,0.82025,0.7415,0.9020833333333333,0.87575,0.9570000000000001,0.9445,0.80475,0.79125,0.8380000000000001,0.998,0.7055,0.18583333333333335,4.590920352190733,2.6736164569854735,1.29099999666214,1.003000020980835,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_blend_selected_global,mmals_rc2b_candidate,0.86365,0.03539888769438951,0.69325,0.0701875,0.8240000000000001,0.734,0.9103333333333333,0.8560833333333333,0.9640000000000001,0.9455,0.8215,0.7887500000000001,0.7815000000000001,0.998,0.6655,0.17112500000000003,5.166169004887342,2.6427658081054686,1.2697499990463257,1.003000020980835,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_proto_global_no_repair,mmals_rc2b_candidate,0.84185,0.07918443660215056,0.65475,0.10087499999999998,0.759,0.65475,0.8634999999999999,0.8654166666666667,0.961,0.9470000000000001,0.6825,0.7955,0.8067500000000001,0.994,0.67875,0.2069583333333333,2.6975143916904925,2.6306100845336915,1.5077500104904176,1.0075000286102296,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
