method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role
probe_proto__zf_oracle,probe,0.9421666666666667,0.015087936682440493,0.9204166666666667,,0.9379166666666667,0.92125,0.9544444444444444,0.9375,0.9608333333333334,0.9775,0.9249999999999999,0.9362499999999999,0.9070833333333334,0.9691666666666667,0.9070833333333334,0.1708333333333333,5.866772095362346,3.211073875427246,1.1012499928474426,1.034166693687439,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,zf,oracle,diagnostic_probe
probe_proto__zf_proto,probe,0.9108333333333333,0.0047521924764610726,0.8483333333333333,,0.8754166666666667,0.8483333333333333,0.9256944444444445,0.9172222222222223,0.9616666666666666,0.9716666666666667,0.84375,0.9283333333333333,0.8358333333333333,0.9874999999999999,0.8266666666666667,0.1711111111111111,3.3036916653315225,3.757645765940348,1.1866666674613953,1.0149999856948853,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,zf,proto,diagnostic_probe
paired_context_temp_blend_selected_head_guard_035,mmals_rc2b_candidate,0.9057499999999999,0.022085062825357764,0.8291666666666666,0.05583333333333335,0.875625,0.8404166666666667,0.9118055555555555,0.9229166666666667,0.9541666666666666,0.9500000000000001,0.8312499999999999,0.9162500000000001,0.8558333333333333,0.9966666666666667,0.8120833333333334,0.1740972222222222,3.0320729513963065,3.397236982981364,1.2233333388964336,1.005833347638448,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_gap_selected,mmals_rc2b_candidate,0.9057499999999999,0.022085062825357764,0.8291666666666666,0.05583333333333335,0.875625,0.8404166666666667,0.9118055555555555,0.9229166666666667,0.9541666666666666,0.9500000000000001,0.8312499999999999,0.9162500000000001,0.8558333333333333,0.9966666666666667,0.8120833333333334,0.1740972222222222,3.0320729513963065,3.397236982981364,1.2233333388964336,1.005833347638448,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_proto_global_head_ce_kl_guard_035,mmals_rc2b_candidate,0.8919166666666666,0.008980302519032042,0.8066666666666666,0.068125,0.8508333333333334,0.8066666666666666,0.895,0.9166666666666666,0.9525,0.9416666666666668,0.7908333333333334,0.9079166666666666,0.84375,0.9983333333333334,0.7875,0.18041666666666667,2.586127460002899,3.643217086791992,1.293750007947286,1.0050000349680583,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
baseline_joint_upper_bound,joint_upper_bound,0.8768333333333334,0.00438985573035533,0.8195833333333334,0.0,0.8497916666666666,0.8270833333333334,0.8890277777777778,0.8777777777777778,0.9025,0.9454166666666666,0.8191666666666667,0.8641666666666667,0.8391666666666667,0.93,0.7825000000000001,0.18541666666666667,6.147682189941406,8.607717672983805,1.231666664282481,1.0799999634424846,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,diagnostic_upper_bound
paired_proto_global_no_repair,mmals_rc2b_candidate,0.8735,0.023895606290697063,0.7666666666666666,0.07770833333333331,0.8283333333333333,0.7666666666666666,0.8773611111111111,0.9043055555555556,0.9583333333333334,0.9375,0.7362500000000001,0.86375,0.8525,0.9966666666666667,0.73,0.19881944444444444,2.7491308649381003,2.8638247648874917,1.3950000206629436,1.0050000349680583,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_rc2g_tri_boundary_equilibrium_policy,mmals_rc2b_policy,0.8704166666666667,0.028173938903414443,0.7658333333333333,0.08510416666666669,0.8366666666666666,0.7658333333333333,0.8679166666666668,0.908611111111111,0.9575,0.92125,0.725,0.89125,0.8370833333333333,0.9975,0.725,0.19409722222222223,2.632023443778356,3.2860825061798096,1.415416677792867,1.0041666825612385,891867.3333333334,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_temp_blend_selected_global,mmals_rc2b_candidate,0.8695833333333334,0.04240454967728499,0.7487499999999999,0.08187499999999998,0.82625,0.7487499999999999,0.9015277777777778,0.8740277777777777,0.9608333333333333,0.9349999999999999,0.80875,0.7883333333333334,0.8370833333333333,0.9966666666666667,0.6845833333333333,0.1791666666666667,4.847470641136169,2.863748788833618,1.3012500007947285,1.0050000349680583,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_blend_selected_global,mmals_rc2b_candidate,0.8695833333333334,0.04240454967728499,0.7487499999999999,0.08239583333333332,0.82625,0.7487499999999999,0.9015277777777778,0.8740277777777777,0.9608333333333333,0.9349999999999999,0.80875,0.7883333333333334,0.8370833333333333,0.9966666666666667,0.6845833333333333,0.1791666666666667,4.847648789485295,2.863748788833618,1.3016666769981384,1.0050000349680583,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
