method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
baseline_balanced_replay,0,mlp_baseline,0.83625,0.68125,,,,,0.0,1.01829132437706,2.2182703018188477,1.4475000500679016,1.0125000476837158,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.76125,0.68125,0.13999999999999996,0.8141666666666666,0.8933333333333334,0.8875,0.94,0.615,0.73625,0.94875,0.995,0.615,0.24229166666666666,deployable_continual_baseline
baseline_balanced_replay,1,mlp_baseline,0.8252499999999999,0.65,,,,,0.0,0.8744891285896301,2.5676207542419434,1.4649999737739563,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.735625,0.65,0.15125000000000002,0.8179166666666667,0.8783333333333333,0.925,0.90625,0.6225,0.695,0.94,1.0,0.6225,0.24187499999999998,deployable_continual_baseline
baseline_balanced_replay,2,mlp_baseline,0.8467499999999999,0.72,,,,,0.0,0.8638386428356171,2.4434921741485596,1.6412500143051147,1.0075000524520874,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.8106249999999999,0.72,0.133125,0.7858333333333333,0.9308333333333333,0.835,0.94375,0.57875,0.85375,0.94125,0.9975,0.57875,0.2416666666666667,deployable_continual_baseline
baseline_ewc,0,mlp_baseline,0.3,0.0,,,,,0.0,-37.42583656311035,2.1759235858917236,6.0,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.844375,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8302083333333332,deployable_continual_baseline
baseline_ewc,1,mlp_baseline,0.29975,0.0,,,,,0.0,-32.28602409362793,2.518220901489258,5.97124981880188,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8409375000000001,0.0,0.66625,0.0,0.0,0.0,0.0,0.99875,1.0,0.0,0.8304166666666667,deployable_continual_baseline
baseline_ewc,2,mlp_baseline,0.2995,0.0,,,,,0.0,-30.388675689697266,2.61379337310791,5.599999904632568,1.0049999952316284,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.84625,0.0,0.665,0.0,0.0,0.0,0.0,1.0,0.995,0.0,0.82875,deployable_continual_baseline
baseline_experience_replay,0,mlp_baseline,0.83625,0.68125,,,,,0.0,1.01829132437706,2.2182703018188477,1.4475000500679016,1.0125000476837158,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.76125,0.68125,0.13999999999999996,0.8141666666666666,0.8933333333333334,0.8875,0.94,0.615,0.73625,0.94875,0.995,0.615,0.24229166666666666,deployable_continual_baseline
baseline_experience_replay,1,mlp_baseline,0.8252499999999999,0.65,,,,,0.0,0.8744891285896301,2.5676207542419434,1.4649999737739563,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.735625,0.65,0.15125000000000002,0.8179166666666667,0.8783333333333333,0.925,0.90625,0.6225,0.695,0.94,1.0,0.6225,0.24187499999999998,deployable_continual_baseline
baseline_experience_replay,2,mlp_baseline,0.8467499999999999,0.72,,,,,0.0,0.8638386428356171,2.4434921741485596,1.6412500143051147,1.0075000524520874,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.8106249999999999,0.72,0.133125,0.7858333333333333,0.9308333333333333,0.835,0.94375,0.57875,0.85375,0.94125,0.9975,0.57875,0.2416666666666667,deployable_continual_baseline
baseline_finetune,0,mlp_baseline,0.3,0.0,,,,,0.0,-25.961543083190918,2.285073757171631,6.0,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8434375000000001,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8300000000000001,deployable_continual_baseline
baseline_finetune,1,mlp_baseline,0.29975,0.0,,,,,0.0,-24.685678482055664,2.3106305599212646,4.069999933242798,1.0,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8421875,0.0,0.66625,0.0,0.0,0.0,0.0,0.99875,1.0,0.0,0.8297916666666668,deployable_continual_baseline
