method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role
probe_proto__zf_oracle,probe,0.9439166666666666,0.010631125685144127,0.9166666666666666,,0.9352083333333333,0.9229166666666666,0.9540277777777778,0.9416666666666668,0.9625,0.9725,0.9270833333333334,0.9375,0.915,0.9725,0.9066666666666666,0.16805555555555554,6.896941423416138,3.33107058207194,1.0937499801317851,1.0325000286102295,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,zf,oracle,diagnostic_probe
probe_proto__zf_proto,probe,0.92125,0.02090603979714958,0.8695833333333334,,0.8891666666666667,0.8695833333333334,0.9370833333333334,0.9244444444444445,0.9658333333333333,0.9708333333333333,0.8745833333333334,0.93375,0.84875,0.9908333333333333,0.8408333333333333,0.1648611111111111,4.2296223640441895,3.992849032084147,1.1620833079020183,1.0116666555404663,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,zf,proto,diagnostic_probe
paired_proto_global_head_ce_kl_guard_035,mmals_rc2b_candidate,0.8956666666666666,0.02151791888945893,0.8058333333333333,0.06229166666666669,0.8527083333333333,0.8116666666666666,0.9187500000000001,0.9005555555555556,0.9633333333333334,0.9066666666666667,0.88625,0.8937499999999999,0.8120833333333334,0.9958333333333335,0.7975,0.1584722222222222,3.9153509537378945,3.6866268316904702,1.1662499904632568,1.005833387374878,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_gap_selected,mmals_rc2b_candidate,0.8857499999999999,0.03869673758858755,0.7908333333333334,0.0771875,0.8222916666666666,0.7908333333333334,0.907638888888889,0.8945833333333334,0.96,0.9199999999999999,0.8429166666666666,0.8649999999999999,0.8229166666666666,0.9958333333333335,0.7912500000000001,0.16868055555555558,3.5606632828712463,3.643805980682373,1.221666653951009,1.005833387374878,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,mmals_rc2b_candidate,0.8857499999999999,0.03869673758858755,0.7908333333333334,0.0771875,0.8222916666666666,0.7908333333333334,0.907638888888889,0.8945833333333334,0.96,0.9199999999999999,0.8429166666666666,0.8649999999999999,0.8229166666666666,0.9958333333333335,0.7912500000000001,0.16868055555555558,3.5606632828712463,3.643805980682373,1.221666653951009,1.005833387374878,390.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_rc2h_rc1b_anchored_conservative_policy,mmals_rc2b_policy,0.8788333333333332,0.03538214003326166,0.7358333333333333,0.09583333333333333,0.803125,0.7358333333333333,0.8875000000000001,0.9016666666666667,0.9525,0.9404166666666667,0.7695833333333333,0.8574999999999999,0.8533333333333334,0.9941666666666666,0.7179166666666666,0.1877777777777778,2.3916999995708466,3.374316136042277,1.3362500071525574,1.0075000524520874,446128.6666666667,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
baseline_joint_upper_bound,joint_upper_bound,0.876,0.008429857650043648,0.8245833333333333,0.0,0.8466666666666667,0.8245833333333333,0.8819444444444445,0.8859722222222223,0.9025,0.9358333333333334,0.8075,0.8608333333333333,0.8520833333333333,0.945,0.79,0.18847222222222224,6.089268604914348,9.384637514750162,1.2545833388964336,1.0633333524068196,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,diagnostic_upper_bound
paired_proto_global_no_repair,mmals_rc2b_candidate,0.8709166666666667,0.030508537056590106,0.6633333333333333,0.11041666666666668,0.7804166666666666,0.6704166666666667,0.86375,0.9143055555555556,0.9658333333333333,0.9229166666666666,0.7025,0.89,0.8595833333333333,0.9933333333333333,0.6483333333333333,0.1977777777777778,2.724453886349996,2.5840473969777427,1.4383333325386047,1.0083333651224773,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_temp_blend_selected_global,mmals_rc2b_candidate,0.8638333333333333,0.04947874122624119,0.6629166666666667,0.11906250000000002,0.7635416666666667,0.6708333333333334,0.8505555555555556,0.9131944444444445,0.9508333333333333,0.9404166666666667,0.6604166666666667,0.8762500000000001,0.8700000000000001,0.9933333333333333,0.6604166666666667,0.2101388888888889,2.1348486045996347,2.5814518133799234,1.4612500270207722,1.0083333651224773,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
paired_context_blend_selected_global,mmals_rc2b_candidate,0.852,0.07061692431705027,0.6033333333333334,0.13354166666666667,0.7370833333333334,0.6166666666666667,0.8395833333333335,0.9043055555555556,0.9500000000000001,0.9383333333333334,0.6304166666666667,0.8454166666666666,0.8741666666666666,0.9933333333333333,0.6304166666666667,0.21944444444444444,1.699046939611435,2.580342451731364,1.5733333826065063,1.0083333651224773,1337606.0,1337606.0,1337216.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired
